Env,PS_mean,PS_max,PS_min,PS_std,RH2M_mean,RH2M_max,RH2M_min,RH2M_std,T2MWET_mean,T2MWET_max,T2MWET_min,T2MWET_std,T2M_mean,T2M_max,T2M_min,T2M_std,WS2M_mean,WS2M_max,WS2M_min,WS2M_std,ALLSKY_SFC_SW_DWN_mean,ALLSKY_SFC_SW_DWN_max,ALLSKY_SFC_SW_DWN_min,ALLSKY_SFC_SW_DWN_std,QV2M_mean,QV2M_max,QV2M_min,QV2M_std,T2M_MIN_mean,T2M_MIN_max,T2M_MIN_min,T2M_MIN_std,T2MDEW_mean,T2MDEW_max,T2MDEW_min,T2MDEW_std,T2M_MAX_mean,T2M_MAX_max,T2M_MAX_min,T2M_MAX_std,PRECTOTCORR_mean,PRECTOTCORR_max,PRECTOTCORR_min,PRECTOTCORR_std
NCH1_2024,100.7633,78.212265,18.57572,20.861542,1.5085323,17.651733,12.20325,15.240939,16.288023,26.628813,2.8194227,102.09,94.44,27.29,31.68,4.38,30.71,19.47,25.82,24.64,39.02,54.55,98.68,52.75,5.77,8.72,0.63,1.35,4.7,1.82,2.83,14.35,0.0,0.54939324,9.786089,5.391186,5.744618,0.60383356,7.299267,3.8439074,6.5236773,5.321551,5.811875,6.4664836
NEH1_2024,96.48306,69.102936,13.926607,17.245766,2.9909616,17.150007,9.015842,11.398598,10.607608,23.90185,1.9600796,97.93,93.44,26.44,30.56,6.74,31.57,19.59,24.21,23.99,40.06,31.17,94.93,37.44,1.52,7.62,0.89,1.63,2.62,0.54,-5.53,11.05,0.0,0.49415806,12.985511,6.5666547,7.230028,0.9908707,7.4313574,3.832186,6.7261295,6.3118167,7.5592337,5.0960183
NEH2_2024,91.284035,62.307182,12.355301,16.606792,3.073865,18.212484,7.9641094,10.1016865,8.101112,23.956728,1.3693017,92.4,92.12,23.6,31.47,7.03,32.3,16.24,22.9,20.18,40.37,28.63,89.71,29.31,1.08,3.01,0.95,3.13,2.38,-0.77,-7.46,4.81,0.0,0.45951253,14.496153,6.4665513,7.747081,1.0699751,7.313414,3.125306,7.2010713,5.7390823,7.915877,3.7894082
NEH3_2024,91.284035,62.307182,12.355301,16.606792,3.073865,18.212484,7.9641094,10.1016865,8.101112,23.956728,1.3693017,92.4,92.12,23.6,31.47,7.03,32.3,16.24,22.9,20.18,40.37,28.63,89.71,29.31,1.08,3.01,0.95,3.13,2.38,-0.77,-7.46,4.81,0.0,0.45951253,14.496153,6.4665513,7.747081,1.0699751,7.313414,3.125306,7.2010713,5.7390823,7.915877,3.7894082
NYH2_2024,97.39402,81.35871,11.913651,13.693106,0.29316556,13.596394,8.736842,9.089452,10.134072,18.29357,6.476299,98.87,95.12,24.46,27.37,0.62,30.91,18.98,22.52,23.51,33.58,52.14,95.9,50.38,1.01,3.15,0.15,2.24,3.6,-0.73,-1.13,5.83,0.0,0.48442125,8.053087,6.901314,7.3319697,0.06677347,7.9605966,3.7690625,6.7595406,6.587016,8.459486,7.545377
NYH3_2024,97.39402,81.35871,11.913651,13.693106,0.29316556,13.596394,8.736842,9.089452,10.134072,18.29357,6.476299,98.87,95.12,24.46,27.37,0.62,30.91,18.98,22.52,23.51,33.58,52.14,95.9,50.38,1.01,3.15,0.15,2.24,3.6,-0.73,-1.13,5.83,0.0,0.48442125,8.053087,6.901314,7.3319697,0.06677347,7.9605966,3.7690625,6.7595406,6.587016,8.459486,7.545377
OHH1_2024,97.960236,80.046555,14.509896,16.425049,2.865174,12.876398,9.896679,11.061186,12.594774,20.956848,8.544666,99.51,95.75,24.1,28.73,5.33,31.91,17.52,23.23,22.4,34.44,51.3,96.67,45.44,3.65,6.27,0.74,1.46,4.09,-0.2,0.83,9.12,0.0,0.46471038,9.402379,5.139653,5.4746976,1.24653,9.713897,3.2764895,5.7983136,5.028328,6.318386,9.386889
ONH3_2024,100.06674,81.911766,11.421253,13.130368,0.28223982,13.228809,8.354546,7.6015067,9.711718,18.548664,4.1671853,101.73,97.69,24.05,25.61,0.52,30.66,17.52,21.33,22.68,31.12,64.85,98.3,51.31,-3.35,-0.15,0.16,1.92,2.32,-5.81,-6.53,6.01,0.0,0.5517983,6.9477553,7.028932,7.1632786,0.071111,8.470249,3.7131646,7.760698,6.976515,6.8890758,8.897667
SCH1_2024,99.031105,75.3589,18.590878,21.28683,0.59007835,16.763655,11.905274,16.4185,15.892955,26.952774,4.0342073,100.32,94.94,26.81,31.94,1.95,30.52,18.74,25.87,23.81,38.81,75.18,97.0,49.81,5.78,9.73,0.27,2.9,4.39,2.69,1.83,15.0,0.0,0.47849151,11.442992,4.884979,5.6484246,0.20990151,8.712438,3.2479963,4.8599286,4.5172467,7.1632967,7.890902
TXH1_2024,100.312195,80.25071,22.331648,24.34992,1.9724326,19.360312,15.593513,19.691236,20.313553,29.680737,4.7019672,101.41,93.75,28.37,30.83,4.8,30.22,22.58,26.82,27.18,37.62,119.48,99.04,52.19,6.89,9.06,0.62,4.38,5.31,5.13,4.71,13.23,0.0,0.40912113,8.203849,4.7594495,4.477486,0.83393466,6.12455,4.227241,5.268989,5.214351,4.1605234,12.533243
WIH1_2024,98.09126,79.10905,13.619856,15.657437,2.9928186,14.6114025,9.328051,10.669684,11.584713,20.817907,3.5861409,99.69,96.25,25.36,26.7,7.57,32.44,19.41,22.58,24.22,32.52,173.15,96.8,46.94,1.46,4.79,0.91,1.53,3.17,-2.06,-2.67,9.8,0.0,0.5765107,10.49822,5.460318,5.4454575,1.0521845,9.042348,3.5595052,5.167308,5.725566,5.842622,12.400759
WIH2_2024,98.05622,82.22539,12.969255,14.644599,2.8291943,12.556044,9.119542,10.186722,11.298245,19.375301,3.41791,99.71,96.19,25.38,26.3,6.73,32.44,19.78,23.15,24.53,30.2,43.64,96.84,50.75,1.4,4.47,0.78,1.53,3.17,-2.24,-2.65,9.15,0.0,0.5861951,10.332551,5.5141068,5.6680384,0.91567624,9.048474,3.495543,5.0263042,5.575672,6.14316,6.0390067
WIH3_2024,98.098656,80.40536,12.867626,14.732101,2.8340113,14.340782,8.992382,9.742403,11.004286,19.520325,3.8457205,99.7,97.31,25.51,26.48,6.16,32.35,19.96,23.07,24.72,29.58,52.44,96.79,54.56,-0.94,2.33,0.74,1.74,2.81,-2.81,-4.2,6.44,0.0,0.5933562,11.225274,5.650939,5.7165875,0.98488426,8.953648,3.4689927,5.4011245,5.820055,6.189195,6.505414
